INFO 2024-12-07 20:56:02,173 autoreload 7208 9348 Watching for file changes with StatReloader
INFO 2024-12-07 20:59:38,266 basehttp 7208 5720 "GET / HTTP/1.1" 200 5850
INFO 2024-12-07 20:59:38,344 basehttp 7208 5720 "GET /static/js/websocket.js HTTP/1.1" 304 0
WARNING 2024-12-07 20:59:38,565 log 7208 4100 Not Found: /ws/security/
WARNING 2024-12-07 20:59:38,566 basehttp 7208 4100 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 20:59:40,026 log 7208 12724 Not Found: /ws/security/
WARNING 2024-12-07 20:59:40,026 basehttp 7208 12724 "GET /ws/security/ HTTP/1.1" 404 3202
INFO 2024-12-07 20:59:40,026 basehttp 7208 12724 - Broken pipe from ('127.0.0.1', 62876)
INFO 2024-12-07 20:59:40,869 basehttp 7208 5720 "GET / HTTP/1.1" 200 5850
WARNING 2024-12-07 20:59:40,941 log 7208 11780 Not Found: /ws/security/
WARNING 2024-12-07 20:59:40,943 basehttp 7208 11780 "GET /ws/security/ HTTP/1.1" 404 3202
INFO 2024-12-07 20:59:40,945 basehttp 7208 11780 - Broken pipe from ('127.0.0.1', 62878)
WARNING 2024-12-07 20:59:41,996 log 7208 6220 Not Found: /ws/security/
WARNING 2024-12-07 20:59:41,997 basehttp 7208 6220 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 20:59:44,024 log 7208 10548 Not Found: /ws/security/
WARNING 2024-12-07 20:59:44,026 basehttp 7208 10548 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 20:59:48,070 log 7208 8068 Not Found: /ws/security/
WARNING 2024-12-07 20:59:48,072 basehttp 7208 8068 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 20:59:48,516 log 7208 5720 Not Found: /mm
WARNING 2024-12-07 20:59:48,516 basehttp 7208 5720 "GET /mm HTTP/1.1" 404 3172
INFO 2024-12-07 21:00:02,891 basehttp 7208 5720 "GET /incidents/ HTTP/1.1" 200 3517
WARNING 2024-12-07 21:00:03,039 log 7208 6576 Not Found: /ws/security/
WARNING 2024-12-07 21:00:03,041 basehttp 7208 6576 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 21:00:04,223 log 7208 9400 Not Found: /ws/security/
WARNING 2024-12-07 21:00:04,237 basehttp 7208 9400 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 21:00:06,284 log 7208 7164 Not Found: /ws/security/
WARNING 2024-12-07 21:00:06,285 basehttp 7208 7164 "GET /ws/security/ HTTP/1.1" 404 3202
INFO 2024-12-07 21:00:06,778 basehttp 7208 5720 "GET /admin/ HTTP/1.1" 200 5151
INFO 2024-12-07 21:00:06,844 basehttp 7208 11520 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,845 basehttp 7208 5720 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,864 basehttp 7208 12460 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,866 basehttp 7208 11416 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,867 basehttp 7208 5720 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,867 basehttp 7208 11520 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,873 basehttp 7208 13116 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,938 basehttp 7208 13116 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2024-12-07 21:00:06,944 basehttp 7208 11520 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,022 basehttp 7208 11520 "GET /admin/auth/group/add/ HTTP/1.1" 200 12350
INFO 2024-12-07 21:00:09,114 basehttp 7208 11416 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,115 basehttp 7208 5720 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,115 basehttp 7208 11520 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,117 basehttp 7208 12460 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,120 basehttp 7208 9580 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,156 basehttp 7208 5720 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,157 basehttp 7208 11416 "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,161 basehttp 7208 9580 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,170 basehttp 7208 12460 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,174 basehttp 7208 11520 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,205 basehttp 7208 5720 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,219 basehttp 7208 13116 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2024-12-07 21:00:09,221 basehttp 7208 9580 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,226 basehttp 7208 11416 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,279 basehttp 7208 11416 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,625 basehttp 7208 11416 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,631 basehttp 7208 9580 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,662 basehttp 7208 11416 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
INFO 2024-12-07 21:00:09,744 basehttp 7208 9580 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 304 0
INFO 2024-12-07 21:00:11,252 basehttp 7208 9580 "GET /admin/ HTTP/1.1" 200 5151
INFO 2024-12-07 21:00:17,016 basehttp 7208 9580 "GET /cameras HTTP/1.1" 301 0
INFO 2024-12-07 21:00:17,045 basehttp 7208 11416 "GET /cameras/ HTTP/1.1" 302 0
INFO 2024-12-07 21:00:17,072 basehttp 7208 11416 "GET / HTTP/1.1" 200 6142
WARNING 2024-12-07 21:00:17,187 log 7208 12664 Not Found: /ws/security/
WARNING 2024-12-07 21:00:17,189 basehttp 7208 12664 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 21:00:18,433 log 7208 1036 Not Found: /ws/security/
WARNING 2024-12-07 21:00:18,433 basehttp 7208 1036 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 21:00:20,610 log 7208 3260 Not Found: /ws/security/
WARNING 2024-12-07 21:00:20,615 basehttp 7208 3260 "GET /ws/security/ HTTP/1.1" 404 3202
